零	零 ⓪
一	一 ①
二	二 ②
三	三 ③
四	四 ④
五	五 ⑤
六	六 ⑥
七	七 ⑦
八	八 ⑧
九	九 ⑨
十	十 ⑩
十一	十一 ⑪
十二	十二 ⑫
十三	十三 ⑬
十四	十四 ⑭
十五	十五 ⑮
十六	十六 ⑯
十七	十七 ⑰
十八	十八 ⑱
十九	十九 ⑲
二十	二十 ⑳
二十一	二十一 ㉑
二十二	二十二 ㉒
二十三	二十三 ㉓
二十四	二十四 ㉔
二十五	二十五 ㉕
二十六	二十六 ㉖
二十七	二十七 ㉗
二十八	二十八 ㉘
二十九	二十九 ㉙
三十	三十 ㉚
三十一	三十一 ㉛
三十二	三十二 ㉜
三十三	三十三 ㉝
三十四	三十四 ㉞
三十五	三十五 ㉟
三十六	三十六 ㊱
三十七	三十七 ㊲
三十八	三十八 ㊳
三十九	三十九 ㊴
四十	四十 ㊵
四十一	四十一 ㊶
四十二	四十二 ㊷
四十三	四十三 ㊸
四十四	四十四 ㊹
四十五	四十五 ㊺
四十六	四十六 ㊻
四十七	四十七 ㊼
四十八	四十八 ㊽
四十九	四十九 ㊾
五十	五十 ㊿
一日	一日 ㏠
二日	二日 ㏡
三日	三日 ㏢
四日	四日 ㏣
五日	五日 ㏤
六日	六日 ㏥
七日	七日 ㏦
八日	八日 ㏧
九日	九日 ㏨
十日	十日 ㏩
十一日	十一日 ㏪
十二日	十二日 ㏫
十三日	十三日 ㏬
十四日	十四日 ㏭
十五日	十五日 ㏮
十六日	十六日 ㏯
十七日	十七日 ㏰
十八日	十八日 ㏱
十九日	十九日 ㏲
二十日	二十日 ㏳
二十一日	二十一日 ㏴
二十二日	二十二日 ㏵
二十三日	二十三日 ㏶
二十四日	二十四日 ㏷
二十五日	二十五日 ㏸
二十六日	二十六日 ㏹
二十七日	二十七日 ㏺
二十八日	二十八日 ㏻
二十九日	二十九日 ㏼
三十日	三十日 ㏽
三十一日	三十一日 ㏾
零点	零点 ㍘
一点	一点 ㍙
二点	二点 ㍚
三点	三点 ㍛
四点	四点 ㍜
五点	五点 ㍝
六点	六点 ㍞
七点	七点 ㍟
八点	八点 ㍠
九点	九点 ㍡
十点	十点 ㍢
十一点	十一点 ㍣
十二点	十二点 ㍤
十三点	十三点 ㍥
十四点	十四点 ㍦
十五点	十五点 ㍧
十六点	十六点 ㍨
十七点	十七点 ㍩
十八点	十八点 ㍪
十九点	十九点 ㍫
二十点	二十点 ㍬
二十一点	二十一点 ㍭
二十二点	二十二点 ㍮
二十三点	二十三点 ㍯
二十四点	二十四点 ㍰
一月	一月 ㋀
二月	二月 ㋁
三月	三月 ㋂
四月	四月 ㋃
五月	五月 ㋄
六月	六月 ㋅
七月	七月 ㋆
八月	八月 ㋇
九月	九月 ㋈
十月	十月 ㋉
十一月	十一月 ㋊
十二月	十二月 ㋋
平成	平成 ㍻
昭和	昭和 ㍼
大正	大正 ㍽
明治	明治 ㍾
令和	令和 ㋿
左	左 ←
上	上 ↑
右	右 →
下	下 ↓
左右	左右 ↔
上下	上下 ↕
左上	左上 ↖
右上	右上 ↗
右下	右下 ↘
左下	左下 ↙
全音符	全音符 𝅝
二分音符	二分音符 𝅗𝅥
四分音符	四分音符 𝅘𝅥
八分音符	八分音符 𝅘𝅥𝅮
十六分音符	十六分音符 𝅘𝅥𝅯
三十二分音符	三十二分音符 𝅘𝅥𝅰
六十四分音符	六十四分音符 𝅘𝅥𝅱
一百二十八分音符	一百二十八分音符 𝅘𝅥𝅲
全休止符	全休止符 𝄻
二分休止符	二分休止符 𝄼
四分休止符	四分休止符 𝄽
八分休止符	八分休止符 𝄾
十六分休止符	十六分休止符 𝄿
三十二分休止符	三十二分休止符 𝅀
六十四分休止符	六十四分休止符 𝅁
一百二十八分休止符	一百二十八分休止符 𝅂
升记号	升记号 ♯
降记号	降记号 ♭
还原记号	还原记号 ♮
重升记号	重升记号 𝄪
重降记号	重降记号 𝄫
高音谱号	高音谱号 𝄞
低音谱号	低音谱号 𝄢
根号	根号 √
三次根号	三次根号 ∛
四次根号	四次根号 ∜
正比于	正比于 ∝
无穷大	无穷大 ∞
角	角 ∠
平行于	平行于 ∥
交集	交集 ∩
并集	并集 ∪
积分	积分 ∫
双重积分	双重积分 ∬
二重积分	二重积分 ∬
三重积分	三重积分 ∭
所以	所以 ∴
因为	因为 ∵
相似于	相似于 ∽
全等于	全等于 ≌
垂直于	垂直于 ⊥
约等于	约等于 ≈
不等于	不等于 ≠
包含于	包含于 ⊂
小于等于	小于等于 ≤
大于等于	大于等于 ≥
异或	异或 ⊕
零次方	零次方 ⁰
一次方	一次方 ¹
二次方	二次方 ²
平方	平方 ²
三次方	三次方 ³
立方	立方 ³
四次方	四次方 ⁴
五次方	五次方 ⁵
六次方	六次方 ⁶
七次方	七次方 ⁷
八次方	八次方 ⁸
九次方	九次方 ⁹
摄氏度	摄氏度 ℃
华氏度	华氏度 ℉
百分号	百分号 ％
千分号	千分号 ‰
万分号	万分号 ‱
度	度 °
欧姆	欧姆 Ω
皮安	皮安 ㎀
纳安	纳安 ㎁
微安	微安 ㎂
毫安	毫安 ㎃
千安培	千安培 ㎄
千字节	千字节 ㎅
兆字节	兆字节 ㎆
吉字节	吉字节 ㎇
卡路里	卡路里 ㎈
卡	卡 ㎈
千卡	千卡 ㎉
皮法	皮法 ㎊
纳法	纳法 ㎋
微法	微法 ㎌
微克	微克 ㎍
毫克	毫克 ㎎
千克	千克 ㎏
赫	赫 ㎐
赫兹	赫兹 ㎐
千赫	千赫 ㎑
千赫兹	千赫兹 ㎑
兆赫	兆赫 ㎒
兆赫兹	兆赫兹 ㎒
吉赫	吉赫 ㎓
吉赫兹	吉赫兹 ㎓
太赫	太赫 ㎔
太赫兹	太赫兹 ㎔
费米	费米 ㎙
纳米	纳米 ㎚
微米	微米 ㎛
毫米	毫米 ㎜
厘米	厘米 ㎝
千米	千米 ㎞
平方毫米	平方毫米 ㎟
平方厘米	平方厘米 ㎠
平方米	平方米 ㎡
平方千米	平方千米 ㎢
立方毫米	立方毫米 ㎣
立方厘米	立方厘米 ㎤
立方米	立方米 ㎥
立方千米	立方千米 ㎦
米每秒	米每秒 ㎧
米每平方秒	米每平方秒 ㎨
帕	帕 ㎩
千帕	千帕 ㎪
兆帕	兆帕 ㎫
吉帕	吉帕 ㎬
弧度	弧度 ㎭
弧度每秒	弧度每秒 ㎮
每平方秒弧度	每平方秒弧度 ㎯
皮秒	皮秒 ㎰
纳秒	纳秒 ㎱
微秒	微秒 ㎲
毫秒	毫秒 ㎳
皮伏	皮伏 ㎴
纳伏	纳伏 ㎵
微伏	微伏 ㎶
毫伏	毫伏 ㎷
千伏	千伏 ㎸
兆伏	兆伏 ㎹
皮瓦	皮瓦 ㎺
纳瓦	纳瓦 ㎻
微瓦	微瓦 ㎼
毫瓦	毫瓦 ㎽
千瓦	千瓦 ㎾
兆瓦	兆瓦 ㎿
微欧	微欧 ㏀
兆欧	兆欧 ㏁
上午	上午 ㏂
贝可	贝可 ㏃
立方厘米	立方厘米 ㏄
坎	坎 ㏅
坎德拉	坎德拉 ㏅
库伦每千克	库伦每千克 ㏆
分贝	分贝 ㏈
戈瑞	戈瑞 ㏉
公顷	公顷 ㏊
马力	马力 ㏋
英寸	英寸 ㏌
节	节 ㏏
流明	流明 ㏐
勒克斯	勒克斯 ㏓
密耳	密耳 ㏕
摩尔	摩尔 ㏖
下午	下午 ㏘
百万分比浓度	百万分比浓度 ㏙
球面度	球面度 ㏛
希沃特	希沃特 ㏜
韦伯	韦伯 ㏝
牛顿每库仑	牛顿每库仑 ㏞
安每米	安每米 ㏟
安培每米	安培每米 ㏟
四分之一	四分之一 ¼
二分之一	二分之一 ½
四分之三	四分之三 ¾
七分之一	七分之一 ⅐
九分之一	九分之一 ⅑
十分之一	十分之一 ⅒
三分之一	三分之一 ⅓
三分之二	三分之二 ⅔
五分之一	五分之一 ⅕
五分之二	五分之二 ⅖
五分之三	五分之三 ⅗
五分之四	五分之四 ⅘
六分之一	六分之一 ⅙
六分之五	六分之五 ⅚
八分之一	八分之一 ⅛
八分之三	八分之三 ⅜
八分之五	八分之五 ⅝
八分之七	八分之七 ⅞
人民币	人民币 ¥
日元	日元 ￥
美分	美分 ￠
美元	美元 ＄
英镑	英镑 ￡
欧元	欧元 €
朝鲜元	朝鲜元 ₩
韩元	韩元 ₩
